Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19040,189,804,20033,2411,22444,-0.019134,0.0004534,-0.999817,0
0,0,0,0,7667,102,394,8163,1126,9289,-0.0364976,-0.077308,-0.996339,0
0,0,0,0,9446,146,547,10139,1487,11626,-0.0134721,-0.0510945,-0.998603,0
0,0,0,0,17644,224,706,18574,2019,20593,-0.0806659,-0.128197,-0.988463,0
0,0,0,0,9474,166,559,10199,1262,11461,0.00919399,-0.0690108,-0.997574,0
0,0,0,0,14076,222,829,15127,2827,17954,-0.0845472,-0.100837,-0.991304,0
0,0,0,0,14186,174,799,15159,1706,16865,0.00401124,-0.0526583,-0.998605,0
0,0,0,0,8537,99,495,9131,1407,10538,-0.0760726,-0.116641,-0.990256,0
0,0,0,0,15614,254,898,16766,1732,18498,-0.000982286,-0.0412795,-0.999147,0
0,0,0,0,11524,149,658,12331,2062,14393,-0.0721813,-0.0914615,-0.993189,0
0,0,0,0,18988,204,763,19955,1851,21806,0.00119771,-0.0275336,-0.99962,0
0,0,0,0,10026,117,544,10687,1317,12004,-0.081364,-0.114868,-0.990043,0
0,0,0,0,18494,183,762,19439,1858,21297,0.00183812,-0.0625952,-0.998037,0
0,0,0,0,9977,159,580,10716,1771,12487,-0.0869541,-0.103563,-0.990815,0
0,0,0,0,14182,257,853,15292,2101,17393,0.0141236,-0.064508,-0.997818,0
0,0,0,0,17851,182,762,18795,1860,20655,-0.0794684,-0.101573,-0.991649,0
0,0,0,0,18377,193,762,19332,1447,20779,-0.00226025,-0.0433728,-0.999057,0
0,0,0,0,7813,87,394,8294,1062,9356,-0.0715434,-0.112875,-0.99103,0
0,0,0,0,5324,90,269,5683,655,6338,-0.000313192,-0.0643033,-0.99793,0
0,0,0,0,5527,65,320,5912,852,6764,-0.0665751,-0.0694844,-0.995359,0
0,0,0,0,19392,247,1182,20821,2872,23693,0.00356495,-0.0400921,-0.99919,0
0,0,0,0,13552,132,585,14269,1669,15938,-0.10364,-0.12715,-0.986454,0
0,0,0,0,8165,145,487,8797,1120,9917,0.015909,-0.0667529,-0.997643,0
0,0,0,0,20295,199,1103,21597,2193,23790,-0.131964,-0.142049,-0.981024,0
0,0,0,0,10120,183,583,10886,1464,12350,0.0511216,-0.0601338,-0.996881,0
0,0,0,0,18162,140,788,19090,2109,21199,-0.0843949,-0.0920248,-0.992174,0
0,0,0,0,8515,120,472,9107,1226,10333,0.0051212,-0.0506095,-0.998706,0
0,0,0,0,14380,171,824,15375,1922,17297,-0.0841611,-0.106259,-0.99077,0
0,0,0,0,18770,199,802,19771,1619,21390,-0.000296298,-0.0530764,-0.998591,0
0,0,0,0,8144,141,491,8776,1403,10179,-0.0789755,-0.105565,-0.991271,0
0,0,0,0,14434,202,844,15480,2022,17502,-0.000527775,-0.0565615,-0.998399,0
0,0,0,0,11123,148,618,11889,1656,13545,-0.0739553,-0.0967758,-0.992555,0
0,0,0,0,13059,197,785,14041,2356,16397,-0.00463408,-0.0394065,-0.999213,0
0,0,0,0,13210,226,762,14198,1786,15984,-0.0775097,-0.126156,-0.988978,0
0,0,0,0,10065,150,666,10881,1427,12308,0.00668568,-0.0389234,-0.99922,0
0,0,0,0,15657,178,918,16753,1716,18469,-0.0991803,-0.127461,-0.986873,0
0,0,0,0,19964,373,1123,21460,1736,23196,0.0203603,-0.0471344,-0.998681,0
0,0,0,0,8951,81,393,9425,1313,10738,-0.116663,-0.1166,-0.986303,0
0,0,0,0,5086,82,276,5444,596,6040,0.0221268,-0.0333699,-0.999198,0
0,0,0,0,5709,63,345,6117,924,7041,-0.144826,-0.168926,-0.974931,0
0,0,0,0,18893,350,1117,20360,1617,21977,0.0577203,-0.0378005,-0.997617,0
0,0,0,0,13346,193,793,14332,2045,16377,-0.0977278,-0.0966859,-0.990505,0
0,0,0,0,9583,149,545,10277,1318,11595,0.0224514,-0.0223923,-0.999497,0
0,0,0,0,19030,278,1012,20320,2142,22462,-0.0928572,-0.07051,-0.99318,0
0,0,0,0,12644,159,719,13522,1165,14687,0.0232901,0.0188614,-0.999551,0
0,0,0,0,9489,125,548,10162,1487,11649,-0.0554211,-0.0212551,-0.998237,0
0,0,0,0,19355,246,1096,20697,2212,22909,-0.00146471,-0.0115896,-0.999932,0
0,0,0,0,5694,27,273,5994,1137,7131,-0.0332082,-0.131581,-0.990749,0
0,0,0,0,15947,93,988,17028,2800,19828,0.0306339,-0.0996771,-0.994548,0
0,0,0,0,18226,95,768,19089,2147,21236,-0.0759689,0.259133,-0.96285,0
0,0,0,0,9651,79,584,10314,1265,11579,0.174695,0.0232204,-0.984349,0
0,0,0,0,18369,158,1052,19579,1769,21348,-0.0153673,0.031041,-0.9994,0
0,0,0,0,12726,105,759,13590,2007,15597,-0.0164989,-0.00565962,-0.999848,0
0,0,0,0,11579,108,707,12394,2154,14548,-0.00805964,0.0110025,-0.999907,0
0,0,0,0,18370,182,953,19505,2081,21586,0.0111362,0.00270702,-0.999934,0
0,0,0,0,9621,110,577,10308,1557,11865,0.054723,-0.149051,-0.987314,0
0,0,0,0,18475,182,1098,19755,3235,22990,-0.0778689,0.197837,-0.977137,0
0,0,0,0,9945,121,592,10658,-1000,-1000,-1,-1,-1,0
0,0,0,0,18782,266,806,19854,3946,23800,-0.0379374,-0.399697,-0.915862,0
0,0,0,0,8151,99,471,8721,3043,11764,-0.00923063,0.399822,-0.916547,0
0,0,0,0,8805,54,524,9383,-1000,-1000,-1,-1,-1,0
0,0,0,0,16717,79,982,17778,-1000,-1000,-1,-1,-1,0
0,0,0,0,6120,38,345,6503,1315,7818,0.00341731,-0.581054,-0.813858,0
0,0,0,0,9894,74,607,10575,1441,12016,-0.133581,-0.000739496,-0.991038,0
0,0,0,0,10399,93,626,11118,1879,12997,-0.138882,-0.548912,-0.824262,0
0,0,0,0,12206,110,697,13013,1978,14991,-0.0933366,0.290579,-0.952288,0
0,0,0,0,11732,163,747,12642,4119,16761,-0.112397,-0.533758,-0.838134,0
0,0,0,0,18593,95,750,19438,2199,21637,-0.0533782,0.29483,-0.954058,0
0,0,0,0,8026,40,389,8455,2773,11228,-0.0239901,-0.573749,-0.81868,0
0,0,0,0,5095,61,294,5450,-1000,-1000,-1,-1,-1,0
0,0,0,0,8941,124,535,9600,1048,10648,-0.467977,0.125134,-0.874837,0
0,0,0,0,18456,182,1078,19716,1174,20890,-0.357911,-0.580119,-0.731684,0
0,0,0,0,14786,95,629,15510,1103,16613,-0.63814,0.0170353,-0.769732,0
0,0,0,0,7421,49,435,7905,-1000,-1000,-1,-1,-1,0
0,0,0,0,17502,110,1001,18613,-1000,-1000,-1,-1,-1,0
0,0,0,0,12000,78,691,12769,-1000,-1000,-1,-1,-1,0
0,0,0,0,11007,75,661,11743,-1000,-1000,-1,-1,-1,0
0,0,0,0,16620,127,965,17712,-1000,-1000,-1,-1,-1,0
0,0,0,0,11948,83,697,12728,-1000,-1000,-1,-1,-1,0
0,0,0,0,13791,103,802,14696,-1000,-1000,-1,-1,-1,0
0,0,0,0,12742,92,774,13608,-1000,-1000,-1,-1,-1,0
0,0,0,0,11876,75,696,12647,-1000,-1000,-1,-1,-1,0
0,0,0,0,15105,116,874,16095,-1000,-1000,-1,-1,-1,0
0,0,0,0,11072,56,638,11766,-1000,-1000,-1,-1,-1,0
0,0,0,0,18106,121,988,19215,-1000,-1000,-1,-1,-1,0
0,0,0,0,9242,72,532,9846,1067,10913,0.0478678,-0.246347,-0.967999,0
0,0,0,0,18437,201,982,19620,3645,23265,-0.00078596,-0.1326,-0.991169,0
0,0,0,0,9049,117,450,9616,1170,10786,-0.0587434,-0.148317,-0.987193,0
0,0,0,0,5900,71,320,6291,825,7116,-0.0173852,-0.14496,-0.989285,0
0,0,0,0,5720,82,342,6144,882,7026,-0.0271026,-0.147495,-0.988691,0
0,0,0,0,18319,260,978,19557,2415,21972,-0.01512,-0.15191,-0.988279,0
0,0,0,0,16083,120,687,16890,1705,18595,-0.0579616,-0.145167,-0.987708,0
0,0,0,0,11100,176,655,11931,1616,13547,-0.00959674,-0.146167,-0.989213,0
0,0,0,0,17452,168,841,18461,1988,20449,-0.00788057,-0.147573,-0.98902,0
0,0,0,0,9323,129,536,9988,1585,11573,-0.0077802,-0.149789,-0.988687,0
0,0,0,0,17153,155,985,18293,2527,20820,-0.0422513,-0.148328,-0.988035,0
0,0,0,0,11917,194,690,12801,1790,14591,-0.0274483,-0.147118,-0.988738,0
0,0,0,0,11092,99,641,11832,1699,13531,0.00801635,-0.144923,-0.989411,0
0,0,0,0,19013,307,962,20282,2704,22986,0.0115771,-0.148077,-0.988908,0
0,0,0,0,12809,197,741,13747,1992,15739,-0.0829307,-0.150225,-0.985168,0
0,0,0,0,12124,196,698,13018,1618,14636,0.0129118,-0.147121,-0.989034,0
0,0,0,0,17625,233,962,18820,1844,20664,-0.0542343,-0.147944,-0.987508,0
0,0,0,0,12020,200,686,12906,1895,14801,-0.0326856,-0.149006,-0.988296,0
0,0,0,0,15818,239,891,16948,1557,18505,-0.00941421,-0.148538,-0.988862,0
0,0,0,0,11050,166,651,11867,1567,13434,-0.0621375,-0.148667,-0.986933,0
0,0,0,0,16890,229,961,18080,2725,20805,-0.0199658,-0.146341,-0.989033,0
0,0,0,0,12248,167,684,13099,1601,14700,-0.0532036,-0.145872,-0.987872,0
0,0,0,0,11222,163,640,12025,1567,13592,0.00901039,-0.147963,-0.988952,0
0,0,0,0,18913,265,1068,20246,2234,22480,-0.0827909,-0.146464,-0.985746,0
0,0,0,0,9842,165,691,10698,1452,12150,0.0165429,-0.148736,-0.988739,0
0,0,0,0,15386,212,868,16466,1839,18305,-0.10775,-0.14681,-0.983279,0
0,0,0,0,11305,145,652,12102,1619,13721,0.0308895,-0.149517,-0.988277,0
0,0,0,0,19097,283,941,20321,1814,22135,-0.107338,-0.146275,-0.983403,0
0,0,0,0,9981,130,576,10687,1556,12243,0.0188014,-0.146265,-0.989067,0
0,0,0,0,12348,152,681,13181,1776,14957,-0.0720638,-0.143145,-0.987074,0
0,0,0,0,19106,296,1102,20504,2028,22532,-0.0214316,-0.127683,-0.991584,0
0,0,0,0,9858,126,489,10473,1139,11612,0.0246753,-0.127629,-0.991515,0
0,0,0,0,6326,73,333,6732,819,7551,-0.0990919,-0.114479,-0.988471,0
0,0,0,0,5122,47,295,5464,749,6213,0.121887,-0.128696,-0.984165,0
0,0,0,0,17656,227,986,18869,2384,21253,-0.101338,-0.114509,-0.98824,0
0,0,0,0,17197,241,960,18398,1919,20317,0.0459906,-0.0797927,-0.99575,0
0,0,0,0,9317,115,558,9990,1613,11603,0.0266634,-0.064355,-0.997571,0
0,0,0,0,19288,249,1096,20633,2007,22640,0.115743,0.0621487,-0.991333,0
0,0,0,0,10030,100,598,10728,4014,14742,0.105461,-0.0598601,-0.99262,0
0,0,0,0,9422,140,548,10110,1149,11259,0.0916092,0.27201,-0.957924,0
0,0,0,0,19200,236,1092,20528,2842,23370,0.101493,-0.327552,-0.939366,0
0,0,0,0,12410,53,590,13053,-1000,-1000,-1,-1,-1,0
0,0,0,0,6441,72,337,6850,-1000,-1000,-1,-1,-1,0
0,0,0,0,5095,45,289,5429,-1000,-1000,-1,-1,-1,0
0,0,0,0,10580,79,629,11288,-1000,-1000,-1,-1,-1,0
0,0,0,0,18786,81,759,19626,-1000,-1000,-1,-1,-1,0
0,0,0,0,9937,72,593,10602,-1000,-1000,-1,-1,-1,0
0,0,0,0,14298,87,833,15218,-1000,-1000,-1,-1,-1,0
0,0,0,0,10531,99,628,11258,1698,12956,0.0161517,0.00322977,-0.999865,0
0,0,0,0,17077,70,714,17861,-1000,-1000,-1,-1,-1,0
0,0,0,0,9431,55,555,10041,-1000,-1000,-1,-1,-1,0
0,0,0,0,10745,77,633,11455,-1000,-1000,-1,-1,-1,0
0,0,0,0,16133,74,719,16926,-1000,-1000,-1,-1,-1,0
0,0,0,0,9245,56,555,9856,-1000,-1000,-1,-1,-1,0
0,0,0,0,14615,73,837,15525,-1000,-1000,-1,-1,-1,0
0,0,0,0,10774,62,639,11475,-1000,-1000,-1,-1,-1,0
0,0,0,0,17084,66,718,17868,-1000,-1000,-1,-1,-1,0
0,0,0,0,9733,51,587,10371,-1000,-1000,-1,-1,-1,0
0,0,0,0,14149,83,843,15075,-1000,-1000,-1,-1,-1,0
0,0,0,0,10524,58,627,11209,-1000,-1000,-1,-1,-1,0
0,0,0,0,16511,70,716,17297,-1000,-1000,-1,-1,-1,0
0,0,0,0,7732,41,463,8236,-1000,-1000,-1,-1,-1,0
0,0,0,0,16791,96,1004,17891,-1000,-1000,-1,-1,-1,0
0,0,0,0,11945,77,741,12763,-1000,-1000,-1,-1,-1,0
0,0,0,0,8902,47,529,9478,3469,12947,-0.245499,-0.368689,-0.896549,0
0,0,0,0,16721,100,1022,17843,6370,24213,-0.368438,-0.525246,-0.767053,0
0,0,0,0,9254,106,528,9888,-1000,-1000,-1,-1,-1,0
0,0,0,0,9810,82,593,10485,-1000,-1000,-1,-1,-1,0
0,0,0,0,18720,159,1116,19995,-1000,-1000,-1,-1,-1,0
0,0,0,0,9444,75,480,9999,-1000,-1000,-1,-1,-1,0
0,0,0,0,18918,160,774,19852,2901,22753,-0.364111,-0.542378,-0.757133,0
0,0,0,0,7608,63,404,8075,-1000,-1000,-1,-1,-1,0
0,0,0,0,5030,60,276,5366,764,6130,-0.332058,-0.492239,-0.804636,0
0,0,0,0,7699,47,497,8243,1583,9826,-0.344663,-0.52719,-0.77671,0
0,0,0,0,18947,123,1122,20192,3403,23595,-0.346065,-0.57332,-0.74266,0
0,0,0,0,10064,83,590,10737,2486,13223,-0.287171,-0.545018,-0.787711,0
0,0,0,0,17660,102,652,18414,2181,20595,-0.216692,-0.49914,-0.83899,0
0,0,0,0,8233,68,479,8780,1086,9866,-0.169851,-0.47669,-0.862506,0
0,0,0,0,13843,93,825,14761,2755,17516,-0.0919934,-0.424732,-0.900633,0
0,0,0,0,13875,96,837,14808,1592,16400,-0.0449409,-0.336946,-0.940451,0
0,0,0,0,10431,73,616,11120,1725,12845,0.0137939,-0.251882,-0.96766,0
0,0,0,0,18742,149,1062,19953,1970,21923,0.140999,-0.0552676,-0.988466,0
0,0,0,0,8100,35,394,8529,910,9439,0.156784,-0.0216633,-0.987395,0
0,0,0,0,4933,34,269,5236,1233,6469,0.187654,0.00310752,-0.982231,0
0,0,0,0,4940,21,290,5251,1385,6636,0.0758463,0.479226,-0.874408,0
0,0,0,0,12309,227,711,13247,-1000,-1000,-1,-1,-1,0
0,0,0,0,19845,147,1112,21104,3493,24597,0.242938,0.394923,-0.886012,0
0,0,0,0,9690,64,483,10237,1042,11279,0.294055,0.289785,-0.9108,0
0,0,0,0,9723,76,568,10367,2131,12498,0.274658,0.261638,-0.925261,0
0,0,0,0,13794,136,855,14785,4543,19328,0.279667,0.26428,-0.923007,0
0,0,0,0,10678,71,629,11378,-1000,-1000,-1,-1,-1,0
0,0,0,0,10063,177,621,10861,-1000,-1000,-1,-1,-1,0
0,0,0,0,18726,128,1132,19986,-1000,-1000,-1,-1,-1,0
0,0,0,0,9527,58,594,10179,-1000,-1000,-1,-1,-1,0
0,0,0,0,7336,68,496,7900,1262,9162,0.110853,0.362072,-0.925535,0
0,0,0,0,16088,114,1018,17220,2905,20125,0.142425,0.422691,-0.895013,0
0,0,0,0,16386,85,772,17243,2393,19636,0.173848,-0.48465,-0.857258,0
0,0,0,0,7688,39,485,8212,2465,10677,0.220544,0.655596,-0.722187,0
0,0,0,0,13982,84,839,14905,-1000,-1000,-1,-1,-1,0
0,0,0,0,8252,151,511,8914,-1000,-1000,-1,-1,-1,0
0,0,0,0,14923,168,931,16022,-1000,-1000,-1,-1,-1,0
0,0,0,0,11289,237,671,12197,-1000,-1000,-1,-1,-1,0
0,0,0,0,18659,208,926,19793,-1000,-1000,-1,-1,-1,0
0,0,0,0,7514,64,405,7983,-1000,-1000,-1,-1,-1,0
0,0,0,0,4500,51,272,4823,846,5669,0.0699974,-0.358821,-0.930778,0
0,0,0,0,19055,181,1116,20352,-1000,-1000,-1,-1,-1,0
0,0,0,0,8000,69,403,8472,1806,10278,0.0525488,0.126555,-0.990567,0
0,0,0,0,4661,41,270,4972,-1000,-1000,-1,-1,-1,0
0,0,0,0,18350,170,1181,19701,-1000,-1000,-1,-1,-1,0
0,0,0,0,7662,58,402,8122,-1000,-1000,-1,-1,-1,0
0,0,0,0,5211,28,308,5547,-1000,-1000,-1,-1,-1,0
0,0,0,0,9800,58,554,10412,-1000,-1000,-1,-1,-1,0
0,0,0,0,19842,71,800,20713,-1000,-1000,-1,-1,-1,0
0,0,0,0,8647,37,477,9161,-1000,-1000,-1,-1,-1,0
0,0,0,0,9751,49,566,10366,3700,14066,0.0835051,-0.000538611,-0.996507,0
0,0,0,0,18600,192,765,19557,1588,21145,0.0370185,-0.0259512,-0.998977,0
0,0,0,0,10271,164,588,11023,1083,12106,0.0973913,0.265006,-0.959316,0
0,0,0,0,14863,251,822,15936,4359,20295,-0.196698,0.219526,-0.955572,0
0,0,0,0,11156,117,618,11891,1181,13072,0.0597863,0.280188,-0.958082,0
0,0,0,0,19775,225,764,20764,2448,23212,-0.0542149,0.485281,-0.872676,0
0,0,0,0,10422,131,472,11025,1180,12205,0.0373272,0.435048,-0.899633,0
0,0,0,0,9302,149,524,9975,2011,11986,-0.100263,0.663489,-0.741438,0
0,0,0,0,19703,315,1159,21177,1928,23105,0.0118714,0.572469,-0.819841,0
0,0,0,0,9285,182,482,9949,-1000,-1000,-1,-1,-1,0
0,0,0,0,7282,90,440,7812,1241,9053,0.344681,0.261031,-0.901697,0
0,0,0,0,18625,121,777,19523,-1000,-1000,-1,-1,-1,0
0,0,0,0,9647,68,606,10321,-1000,-1000,-1,-1,-1,0
0,0,0,0,18418,133,783,19334,3565,22899,-0.0391994,0.521098,-0.852596,0
0,0,0,0,7593,50,401,8044,-1000,-1000,-1,-1,-1,0
0,0,0,0,5123,31,274,5428,-1000,-1000,-1,-1,-1,0
0,0,0,0,5087,124,307,5518,-1000,-1000,-1,-1,-1,0
0,0,0,0,14163,138,839,15140,-1000,-1000,-1,-1,-1,0
0,0,0,0,14246,104,627,14977,-1000,-1000,-1,-1,-1,0
0,0,0,0,19231,195,1115,20541,-1000,-1000,-1,-1,-1,0
0,0,0,0,7705,56,405,8166,1047,9213,-0.0377374,0.619554,-0.784046,0
0,0,0,0,5037,44,302,5383,-1000,-1000,-1,-1,-1,0
0,0,0,0,8039,71,513,8623,-1000,-1000,-1,-1,-1,0
0,0,0,0,18738,68,788,19594,-1000,-1000,-1,-1,-1,0
0,0,0,0,9896,43,477,10416,-1000,-1000,-1,-1,-1,0
0,0,0,0,7722,43,472,8237,1653,9890,0.102207,-0.60671,-0.788326,0
0,0,0,0,18564,105,1051,19720,-1000,-1000,-1,-1,-1,0
0,0,0,0,9920,80,612,10612,-1000,-1000,-1,-1,-1,0
0,0,0,0,14055,90,838,14983,-1000,-1000,-1,-1,-1,0
0,0,0,0,10547,69,626,11242,-1000,-1000,-1,-1,-1,0
0,0,0,0,8431,59,511,9001,-1000,-1000,-1,-1,-1,0
0,0,0,0,15335,112,911,16358,-1000,-1000,-1,-1,-1,0
0,0,0,0,11064,89,673,11826,-1000,-1000,-1,-1,-1,0
0,0,0,0,8296,72,523,8891,-1000,-1000,-1,-1,-1,0
0,0,0,0,11992,170,724,12886,-1000,-1000,-1,-1,-1,0
0,0,0,0,14048,204,838,15090,-1000,-1000,-1,-1,-1,0
0,0,0,0,8432,128,510,9070,-1000,-1000,-1,-1,-1,0
0,0,0,0,6542,88,401,7031,-1000,-1000,-1,-1,-1,0
0,0,0,0,12733,173,774,13680,-1000,-1000,-1,-1,-1,0
0,0,0,0,10063,213,606,10882,-1000,-1000,-1,-1,-1,0
0,0,0,0,7923,73,477,8473,4079,12552,-0.369626,-0.558513,-0.742591,0
0,0,0,0,16643,94,716,17453,-1000,-1000,-1,-1,-1,0
0,0,0,0,8877,60,456,9393,-1000,-1000,-1,-1,-1,0
0,0,0,0,7079,53,429,7561,-1000,-1000,-1,-1,-1,0
0,0,0,0,19337,144,775,20256,-1000,-1000,-1,-1,-1,0
0,0,0,0,8329,59,474,8862,-1000,-1000,-1,-1,-1,0
0,0,0,0,19798,154,1145,21097,-1000,-1000,-1,-1,-1,0
0,0,0,0,10326,81,567,10974,-1000,-1000,-1,-1,-1,0
0,0,0,0,14206,108,824,15138,-1000,-1000,-1,-1,-1,0
0,0,0,0,13132,112,806,14050,-1000,-1000,-1,-1,-1,0
0,0,0,0,10030,72,577,10679,-1000,-1000,-1,-1,-1,0
0,0,0,0,17851,98,763,18712,-1000,-1000,-1,-1,-1,0
0,0,0,0,8489,38,472,8999,-1000,-1000,-1,-1,-1,0
0,0,0,0,19150,83,769,20002,-1000,-1000,-1,-1,-1,0
0,0,0,0,20207,87,767,21061,2344,23405,-0.261191,0.304279,-0.916075,0
0,0,0,0,9023,95,409,9527,1561,11088,-0.0609491,0.428833,-0.901325,0
0,0,0,0,5825,96,344,6265,3387,9652,-0.657779,0.228196,-0.717811,0
0,0,0,0,12514,86,730,13330,-1000,-1000,-1,-1,-1,0
0,0,0,0,15320,74,914,16308,-1000,-1000,-1,-1,-1,0
0,0,0,0,8743,43,530,9316,-1000,-1000,-1,-1,-1,0
0,0,0,0,18566,52,773,19391,-1000,-1000,-1,-1,-1,0
0,0,0,0,7852,37,486,8375,-1000,-1000,-1,-1,-1,0
0,0,0,0,18202,93,1032,19327,-1000,-1000,-1,-1,-1,0
0,0,0,0,9175,182,558,9915,-1000,-1000,-1,-1,-1,0
0,0,0,0,15246,50,731,16027,-1000,-1000,-1,-1,-1,0
0,0,0,0,7559,32,517,8108,-1000,-1000,-1,-1,-1,0
0,0,0,0,12737,62,770,13569,-1000,-1000,-1,-1,-1,0
0,0,0,0,15909,49,733,16691,-1000,-1000,-1,-1,-1,0
0,0,0,0,7489,35,501,8025,-1000,-1000,-1,-1,-1,0
0,0,0,0,10362,50,627,11039,-1000,-1000,-1,-1,-1,0
0,0,0,0,17494,166,726,18386,-1000,-1000,-1,-1,-1,0
0,0,0,0,7503,103,458,8064,3173,11237,0.0169696,0.414711,-0.909795,0
0,0,0,0,12600,66,771,13437,2457,15894,0.222816,0.174789,-0.959063,0
0,0,0,0,18549,65,1140,19754,3140,22894,-0.224296,0.212449,-0.951082,0
0,0,0,0,8890,27,480,9397,1472,10869,-0.0663775,0.308757,-0.948822,0
0,0,0,0,5510,17,306,5833,-1000,-1000,-1,-1,-1,0
0,0,0,0,4612,41,280,4933,-1000,-1000,-1,-1,-1,0
0,0,0,0,10837,75,691,11603,-1000,-1000,-1,-1,-1,0
0,0,0,0,18943,265,778,19986,1622,21608,-0.112843,0.298464,-0.947726,0
0,0,0,0,15586,50,608,16244,-1000,-1000,-1,-1,-1,0
0,0,0,0,19192,96,891,20179,-1000,-1000,-1,-1,-1,0
0,0,0,0,7565,38,407,8010,-1000,-1000,-1,-1,-1,0
0,0,0,0,4548,24,246,4818,-1000,-1000,-1,-1,-1,0
0,0,0,0,6076,28,352,6456,-1000,-1000,-1,-1,-1,0
0,0,0,0,12876,52,715,13643,-1000,-1000,-1,-1,-1,0
0,0,0,0,16520,102,722,17344,-1000,-1000,-1,-1,-1,0
0,0,0,0,20463,61,1113,21637,-1000,-1000,-1,-1,-1,0
0,0,0,0,8140,30,400,8570,1040,9610,-0.017787,0.373257,-0.927557,0
0,0,0,0,4945,82,243,5270,513,5783,0.0285734,0.101408,-0.994435,0
0,0,0,0,6261,75,359,6695,1136,7831,-0.0920032,0.424843,-0.900579,0
0,0,0,0,13195,154,706,14055,1535,15590,-0.0135947,0.414408,-0.90999,0
0,0,0,0,19409,135,725,20269,-1000,-1000,-1,-1,-1,0
0,0,0,0,7955,126,464,8545,1185,9730,0.0172628,0.0142629,-0.999749,0
0,0,0,0,10361,66,598,11025,-1000,-1000,-1,-1,-1,0
0,0,0,0,18389,152,882,19423,-1000,-1000,-1,-1,-1,0
0,0,0,0,9232,80,568,9880,-1000,-1000,-1,-1,-1,0
0,0,0,0,8532,60,504,9096,-1000,-1000,-1,-1,-1,0
0,0,0,0,10142,68,602,10812,-1000,-1000,-1,-1,-1,0
0,0,0,0,15401,70,667,16138,-1000,-1000,-1,-1,-1,0
0,0,0,0,9472,66,556,10094,-1000,-1000,-1,-1,-1,0
0,0,0,0,10660,70,628,11358,-1000,-1000,-1,-1,-1,0
0,0,0,0,16829,67,742,17638,-1000,-1000,-1,-1,-1,0
0,0,0,0,7842,60,471,8373,-1000,-1000,-1,-1,-1,0
0,0,0,0,10494,66,625,11185,-1000,-1000,-1,-1,-1,0
0,0,0,0,16783,79,718,17580,2013,19593,0.217998,-0.66818,-0.711346,0
0,0,0,0,16686,101,744,17531,-1000,-1000,-1,-1,-1,0
0,0,0,0,7563,60,489,8112,-1000,-1000,-1,-1,-1,0
0,0,0,0,18806,143,1164,20113,2749,22862,0.159903,-0.308257,-0.937768,0
0,0,0,0,7763,38,399,8200,-1000,-1000,-1,-1,-1,0
0,0,0,0,5402,63,306,5771,-1000,-1000,-1,-1,-1,0
0,0,0,0,5107,97,313,5517,-1000,-1000,-1,-1,-1,0
0,0,0,0,18751,210,1133,20094,-1000,-1000,-1,-1,-1,0
0,0,0,0,7902,63,413,8378,-1000,-1000,-1,-1,-1,0
0,0,0,0,4488,79,246,4813,-1000,-1000,-1,-1,-1,0
0,0,0,0,5288,73,314,5675,1344,7019,0.164844,-0.620051,-0.767049,0
0,0,0,0,6634,58,419,7111,1829,8940,0.164385,-0.600107,-0.782847,0
0,0,0,0,6993,79,419,7491,1386,8877,0.162767,-0.545564,-0.822111,0
0,0,0,0,7898,83,484,8465,1646,10111,0.170199,-0.50138,-0.848322,0
0,0,0,0,16425,208,1028,17661,2445,20106,0.168599,-0.421707,-0.89092,0
0,0,0,0,11841,194,717,12752,1573,14325,0.153476,-0.323787,-0.933599,0
0,0,0,0,9795,104,553,10452,1317,11769,0.142623,-0.210869,-0.967053,0
0,0,0,0,18050,337,999,19386,2267,21653,0.139798,0.272406,-0.951973,0
0,0,0,0,9798,126,549,10473,1448,11921,0.169183,0.456504,-0.873488,0
0,0,0,0,18034,146,689,18869,-1000,-1000,-1,-1,-1,0
0,0,0,0,8254,118,474,8846,-1000,-1000,-1,-1,-1,0
0,0,0,0,9309,92,533,9934,-1000,-1000,-1,-1,-1,0
0,0,0,0,16828,98,715,17641,4401,22042,0.0329203,0.513522,-0.857445,0
0,0,0,0,20371,134,793,21298,1352,22650,0.177201,0.327996,-0.927911,0
0,0,0,0,9316,125,463,9904,1647,11551,0.0603452,0.216833,-0.974342,0
0,0,0,0,6805,68,342,7215,454,7669,0.0771498,-0.0299503,-0.99657,0
0,0,0,0,5882,58,333,6273,551,6824,-0.169253,0.360661,-0.917212,0
0,0,0,0,14632,133,833,15598,-1000,-1000,-1,-1,-1,0
0,0,0,0,10730,42,624,11396,-1000,-1000,-1,-1,-1,0
0,0,0,0,8598,38,512,9148,-1000,-1000,-1,-1,-1,0
0,0,0,0,11902,47,715,12664,-1000,-1000,-1,-1,-1,0
0,0,0,0,14872,63,916,15851,-1000,-1000,-1,-1,-1,0
0,0,0,0,8512,36,529,9077,-1000,-1000,-1,-1,-1,0
0,0,0,0,9709,40,592,10341,-1000,-1000,-1,-1,-1,0
0,0,0,0,12347,52,722,13121,-1000,-1000,-1,-1,-1,0
0,0,0,0,11949,145,937,13031,-1000,-1000,-1,-1,-1,0
0,0,0,0,14651,105,560,15316,-1000,-1000,-1,-1,-1,0
